            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457967.500000000, A.D. 2017-Aug-02 00:00:00.0000, -1.705769654851325E+07, -6.757954663926110E+07, -3.957217188732427E+06,
2457968.500000000, A.D. 2017-Aug-03 00:00:00.0000, -1.379841705973849E+07, -6.829940055545208E+07, -4.315045304446008E+06,
2457969.500000000, A.D. 2017-Aug-04 00:00:00.0000, -1.049896711532089E+07, -6.882041094598451E+07, -4.660310651657455E+06,
2457970.500000000, A.D. 2017-Aug-05 00:00:00.0000, -7.168902428536738E+06, -6.914071307465747E+07, -4.991984212373637E+06,
2457971.500000000, A.D. 2017-Aug-06 00:00:00.0000, -3.817863806799101E+06, -6.925865964863971E+07, -5.309046929839429E+06,
2457972.500000000, A.D. 2017-Aug-07 00:00:00.0000, -4.556020818013184E+05, -6.917282248234357E+07, -5.610487557409164E+06,
2457973.500000000, A.D. 2017-Aug-08 00:00:00.0000,  2.907996294834308E+06, -6.888199776291005E+07, -5.895300740663163E+06,
2457974.500000000, A.D. 2017-Aug-09 00:00:00.0000,  6.262883038820032E+06, -6.838521508281359E+07, -6.162485350735959E+06,
2457975.500000000, A.D. 2017-Aug-10 00:00:00.0000,  9.598821267047917E+06, -6.768175046242295E+07, -6.411043092906300E+06,
2457976.500000000, A.D. 2017-Aug-11 00:00:00.0000,  1.290535826640179E+07, -6.677114364600619E+07, -6.639977421722982E+06,
2457977.500000000, A.D. 2017-Aug-12 00:00:00.0000,  1.617179792169234E+07, -6.565322001894755E+07, -6.848292802474063E+06,
2457978.500000000, A.D. 2017-Aug-13 00:00:00.0000,  1.938717297579949E+07, -6.432811756197104E+07, -7.034994368855238E+06,
2457979.500000000, A.D. 2017-Aug-14 00:00:00.0000,  2.254021735987120E+07, -6.279631932976051E+07, -7.199088038484272E+06,
2457980.500000000, A.D. 2017-Aug-15 00:00:00.0000,  2.561933891537561E+07, -6.105869201590905E+07, -7.339581161701247E+06,
2457981.500000000, A.D. 2017-Aug-16 00:00:00.0000,  2.861259293702954E+07, -5.911653124235315E+07, -7.455483795159452E+06,
2457982.500000000, A.D. 2017-Aug-17 00:00:00.0000,  3.150765710105926E+07, -5.697161428716812E+07, -7.545810710323490E+06,
2457983.500000000, A.D. 2017-Aug-18 00:00:00.0000,  3.429180851270659E+07, -5.462626103635313E+07, -7.609584268400077E+06,
2457984.500000000, A.D. 2017-Aug-19 00:00:00.0000,  3.695190381709819E+07, -5.208340400779163E+07, -7.645838317621998E+06,
2457985.500000000, A.D. 2017-Aug-20 00:00:00.0000,  3.947436357609342E+07, -4.934666834132114E+07, -7.653623296258334E+06,
2457986.500000000, A.D. 2017-Aug-21 00:00:00.0000,  4.184516242866609E+07, -4.642046266699456E+07, -7.632012755098207E+06,
2457987.500000000, A.D. 2017-Aug-22 00:00:00.0000,  4.404982693203882E+07, -4.331008173921223E+07, -7.580111545990862E+06,
2457988.500000000, A.D. 2017-Aug-23 00:00:00.0000,  4.607344343276746E+07, -4.002182163716297E+07, -7.497065957359964E+06,
2457989.500000000, A.D. 2017-Aug-24 00:00:00.0000,  4.790067884678775E+07, -3.656310815498479E+07, -7.382076111748377E+06,
2457990.500000000, A.D. 2017-Aug-25 00:00:00.0000,  4.951581783641627E+07, -3.294263870322170E+07, -7.234410971654244E+06,
2457991.500000000, A.D. 2017-Aug-26 00:00:00.0000,  5.090282055437031E+07, -2.917053757217618E+07, -7.053426324007001E+06,
2457992.500000000, A.D. 2017-Aug-27 00:00:00.0000,  5.204540586201324E+07, -2.525852371322121E+07, -6.838586124506413E+06,
2457993.500000000, A.D. 2017-Aug-28 00:00:00.0000,  5.292716568500009E+07, -2.122008921193881E+07, -6.589487572143136E+06,
