            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457979.500000000, A.D. 2017-Aug-14 00:00:00.0000,  4.271438389973123E+09, -1.349326634814744E+09, -7.065756284179187E+07,
2457980.500000000, A.D. 2017-Aug-15 00:00:00.0000,  4.271577276758922E+09, -1.348876935723044E+09, -7.067006491231090E+07,
2457981.500000000, A.D. 2017-Aug-16 00:00:00.0000,  4.271716095797469E+09, -1.348427176184108E+09, -7.068250760654551E+07,
2457982.500000000, A.D. 2017-Aug-17 00:00:00.0000,  4.271854913513327E+09, -1.347977341678545E+09, -7.069492989474571E+07,
2457983.500000000, A.D. 2017-Aug-18 00:00:00.0000,  4.271993749840534E+09, -1.347527479327109E+09, -7.070739114932948E+07,
2457984.500000000, A.D. 2017-Aug-19 00:00:00.0000,  4.272132557527461E+09, -1.347077648975976E+09, -7.071990950078022E+07,
2457985.500000000, A.D. 2017-Aug-20 00:00:00.0000,  4.272271271193920E+09, -1.346627861073588E+09, -7.073244301496279E+07,
2457986.500000000, A.D. 2017-Aug-21 00:00:00.0000,  4.272409875209222E+09, -1.346178065829749E+09, -7.074493322925037E+07,
2457987.500000000, A.D. 2017-Aug-22 00:00:00.0000,  4.272548419920994E+09, -1.345728204918384E+09, -7.075736585362029E+07,
2457988.500000000, A.D. 2017-Aug-23 00:00:00.0000,  4.272686969379285E+09, -1.345278272044589E+09, -7.076978560784954E+07,
2457989.500000000, A.D. 2017-Aug-24 00:00:00.0000,  4.272825534835054E+09, -1.344828319489619E+09, -7.078224978965056E+07,
2457990.500000000, A.D. 2017-Aug-25 00:00:00.0000,  4.272964063060632E+09, -1.344378403838766E+09, -7.079476878508067E+07,
2457991.500000000, A.D. 2017-Aug-26 00:00:00.0000,  4.273102491611103E+09, -1.343928527243972E+09, -7.080729528621840E+07,
2457992.500000000, A.D. 2017-Aug-27 00:00:00.0000,  4.273240813655597E+09, -1.343478635196698E+09, -7.081977340690863E+07,
2457993.500000000, A.D. 2017-Aug-28 00:00:00.0000,  4.273379085069798E+09, -1.343028673130405E+09, -7.083219670909566E+07,
2457994.500000000, A.D. 2017-Aug-29 00:00:00.0000,  4.273517366420807E+09, -1.342578643084990E+09, -7.084461488758266E+07,
2457995.500000000, A.D. 2017-Aug-30 00:00:00.0000,  4.273655660082413E+09, -1.342128601598610E+09, -7.085708217261231E+07,
2457996.500000000, A.D. 2017-Aug-31 00:00:00.0000,  4.273793907773025E+09, -1.341678601017282E+09, -7.086960102596098E+07,
2457997.500000000, A.D. 2017-Sep-01 00:00:00.0000,  4.273932051063972E+09, -1.341228635159786E+09, -7.088211958548266E+07,
2457998.500000000, A.D. 2017-Sep-02 00:00:00.0000,  4.274070092042631E+09, -1.340778645743188E+09, -7.089458550992668E+07,
2457999.500000000, A.D. 2017-Sep-03 00:00:00.0000,  4.274208091146029E+09, -1.340328582906211E+09, -7.090700032515270E+07,
2458000.500000000, A.D. 2017-Sep-04 00:00:00.0000,  4.274346104411237E+09, -1.339878456989705E+09, -7.091941784014124E+07,
2458001.500000000, A.D. 2017-Sep-05 00:00:00.0000,  4.274484125295958E+09, -1.339428327811616E+09, -7.093188827841187E+07,
2458002.500000000, A.D. 2017-Sep-06 00:00:00.0000,  4.274622091475373E+09, -1.338978242573577E+09, -7.094440613482875E+07,
2458003.500000000, A.D. 2017-Sep-07 00:00:00.0000,  4.274759949550425E+09, -1.338528186868184E+09, -7.095691589169627E+07,
2458004.500000000, A.D. 2017-Sep-08 00:00:00.0000,  4.274897710492402E+09, -1.338078099646976E+09, -7.096936965990174E+07,
2458005.500000000, A.D. 2017-Sep-09 00:00:00.0000,  4.275035438256049E+09, -1.337627936616838E+09, -7.098177690307146E+07,
2458006.500000000, A.D. 2017-Sep-10 00:00:00.0000,  4.275173183381778E+09, -1.337177716240567E+09, -7.099419461249661E+07,
2458007.500000000, A.D. 2017-Sep-11 00:00:00.0000,  4.275310930528213E+09, -1.336727500579568E+09, -7.100666813486409E+07,
2458008.500000000, A.D. 2017-Sep-12 00:00:00.0000,  4.275448614409657E+09, -1.336277330871948E+09, -7.101918409358805E+07,
2458009.500000000, A.D. 2017-Sep-13 00:00:00.0000,  4.275586187583579E+09, -1.335827184730027E+09, -7.103168427716428E+07,
2458010.500000000, A.D. 2017-Sep-14 00:00:00.0000,  4.275723669717467E+09, -1.335376999392202E+09, -7.104412607834071E+07,
2458011.500000000, A.D. 2017-Sep-15 00:00:00.0000,  4.275861127178450E+09, -1.334926736895849E+09, -7.105652673456758E+07,
2458012.500000000, A.D. 2017-Sep-16 00:00:00.0000,  4.275998604136867E+09, -1.334476423501228E+09, -7.106894543162215E+07,
2458013.500000000, A.D. 2017-Sep-17 00:00:00.0000,  4.276136076718443E+09, -1.334026122433641E+09, -7.108142185332555E+07,
2458014.500000000, A.D. 2017-Sep-18 00:00:00.0000,  4.276273477805217E+09, -1.333575868247763E+09, -7.109393498249203E+07,
2458015.500000000, A.D. 2017-Sep-19 00:00:00.0000,  4.276410766729376E+09, -1.333125630956685E+09, -7.110642492161196E+07,
2458016.500000000, A.D. 2017-Sep-20 00:00:00.0000,  4.276547971509274E+09, -1.332675347166594E+09, -7.111885508279836E+07,
2458017.500000000, A.D. 2017-Sep-21 00:00:00.0000,  4.276685159770137E+09, -1.332224985898295E+09, -7.113125017789978E+07,
2458018.500000000, A.D. 2017-Sep-22 00:00:00.0000,  4.276822368541711E+09, -1.331774580752664E+09, -7.114367056105226E+07,
2458019.500000000, A.D. 2017-Sep-23 00:00:00.0000,  4.276959565823680E+09, -1.331324195023365E+09, -7.115614956475437E+07,
2458020.500000000, A.D. 2017-Sep-24 00:00:00.0000,  4.277096683820650E+09, -1.330873855983505E+09, -7.116865889464974E+07,
2458021.500000000, A.D. 2017-Sep-25 00:00:00.0000,  4.277233689336141E+09, -1.330423526567133E+09, -7.118113800436795E+07,
