            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457988.500000000, A.D. 2017-Aug-23 00:00:00.0000,  1.552362727691586E+09, -4.747638800805062E+09,  5.881842523271036E+07,
2457989.500000000, A.D. 2017-Aug-24 00:00:00.0000,  1.552821182531312E+09, -4.747590326366398E+09,  5.868092224049020E+07,
2457990.500000000, A.D. 2017-Aug-25 00:00:00.0000,  1.553279225098547E+09, -4.747543092855905E+09,  5.854206712330818E+07,
2457991.500000000, A.D. 2017-Aug-26 00:00:00.0000,  1.553735918375824E+09, -4.747497162774477E+09,  5.840339291949439E+07,
2457992.500000000, A.D. 2017-Aug-27 00:00:00.0000,  1.554191518404391E+09, -4.747451402057098E+09,  5.826627086102533E+07,
2457993.500000000, A.D. 2017-Aug-28 00:00:00.0000,  1.554647246446688E+09, -4.747404490766158E+09,  5.813068771165895E+07,
2457994.500000000, A.D. 2017-Aug-29 00:00:00.0000,  1.555104199986585E+09, -4.747356100856551E+09,  5.799525633255959E+07,
2457995.500000000, A.D. 2017-Aug-30 00:00:00.0000,  1.555562372640623E+09, -4.747307189727850E+09,  5.785845349326348E+07,
2457996.500000000, A.D. 2017-Aug-31 00:00:00.0000,  1.556020660091145E+09, -4.747259145220057E+09,  5.771997979388666E+07,
2457997.500000000, A.D. 2017-Sep-01 00:00:00.0000,  1.556477846081863E+09, -4.747212547290841E+09,  5.758102568540525E+07,
2457998.500000000, A.D. 2017-Sep-02 00:00:00.0000,  1.556933686609104E+09, -4.747166651672454E+09,  5.744320926434040E+07,
2457999.500000000, A.D. 2017-Sep-03 00:00:00.0000,  1.557389127460672E+09, -4.747120053255856E+09,  5.730713394282794E+07,
2458000.500000000, A.D. 2017-Sep-04 00:00:00.0000,  1.557845461425057E+09, -4.747071939056108E+09,  5.717184935956478E+07,
2458001.500000000, A.D. 2017-Sep-05 00:00:00.0000,  1.558303174345662E+09, -4.747022814563714E+09,  5.703569859829426E+07,
2458002.500000000, A.D. 2017-Sep-06 00:00:00.0000,  1.558761511183339E+09, -4.746974052553507E+09,  5.689779762631273E+07,
2458003.500000000, A.D. 2017-Sep-07 00:00:00.0000,  1.559219150610755E+09, -4.746926667528637E+09,  5.675882361838460E+07,
2458004.500000000, A.D. 2017-Sep-08 00:00:00.0000,  1.559675383530875E+09, -4.746880411578114E+09,  5.662040984384608E+07,
2458005.500000000, A.D. 2017-Sep-09 00:00:00.0000,  1.560130744896182E+09, -4.746833995716902E+09,  5.648368969362259E+07,
2458006.500000000, A.D. 2017-Sep-10 00:00:00.0000,  1.560586537348091E+09, -4.746786238795127E+09,  5.634828567717052E+07,
2458007.500000000, A.D. 2017-Sep-11 00:00:00.0000,  1.561043669203228E+09, -4.746737121879221E+09,  5.621264498946500E+07,
2458008.500000000, A.D. 2017-Sep-12 00:00:00.0000,  1.561501843163420E+09, -4.746687805696295E+09,  5.607542561133957E+07,
2458009.500000000, A.D. 2017-Sep-13 00:00:00.0000,  1.561959822182769E+09, -4.746639594069819E+09,  5.593669414854050E+07,
2458010.500000000, A.D. 2017-Sep-14 00:00:00.0000,  1.562416533550031E+09, -4.746592771015711E+09,  5.579786515977144E+07,
2458011.500000000, A.D. 2017-Sep-15 00:00:00.0000,  1.562872024892411E+09, -4.746546348221742E+09,  5.566043956551576E+07,
2458012.500000000, A.D. 2017-Sep-16 00:00:00.0000,  1.563327421990223E+09, -4.746498945829411E+09,  5.552466659960747E+07,
2458013.500000000, A.D. 2017-Sep-17 00:00:00.0000,  1.563783925219059E+09, -4.746450023308903E+09,  5.538932033547139E+07,
2458014.500000000, A.D. 2017-Sep-18 00:00:00.0000,  1.564241737771394E+09, -4.746400362720919E+09,  5.525279327350664E+07,
2458015.500000000, A.D. 2017-Sep-19 00:00:00.0000,  1.564699884315301E+09, -4.746351370354433E+09,  5.511453163689923E+07,
2458016.500000000, A.D. 2017-Sep-20 00:00:00.0000,  1.565157082080692E+09, -4.746303821621121E+09,  5.497552857209349E+07,
2458017.500000000, A.D. 2017-Sep-21 00:00:00.0000,  1.565612884596368E+09, -4.746257170354696E+09,  5.483743758827496E+07,
2458018.500000000, A.D. 2017-Sep-22 00:00:00.0000,  1.566068079567393E+09, -4.746210035753130E+09,  5.470109867426252E+07,
2458019.500000000, A.D. 2017-Sep-23 00:00:00.0000,  1.566523987150128E+09, -4.746161433402681E+09,  5.456578849949574E+07,
2458020.500000000, A.D. 2017-Sep-24 00:00:00.0000,  1.566981281878267E+09, -4.746111654439577E+09,  5.442986478787994E+07,
2458021.500000000, A.D. 2017-Sep-25 00:00:00.0000,  1.567439390151807E+09, -4.746062005916500E+09,  5.429223257848644E+07,
2458022.500000000, A.D. 2017-Sep-26 00:00:00.0000,  1.567897002873241E+09, -4.746013643720457E+09,  5.415332112601662E+07,
2458023.500000000, A.D. 2017-Sep-27 00:00:00.0000,  1.568353243381792E+09, -4.745966542054616E+09,  5.401469977055573E+07,
2458024.500000000, A.D. 2017-Sep-28 00:00:00.0000,  1.568808448603406E+09, -4.745919516941157E+09,  5.387767874649119E+07,
2458025.500000000, A.D. 2017-Sep-29 00:00:00.0000,  1.569263869156415E+09, -4.745871281405697E+09,  5.374214081055379E+07,
2458026.500000000, A.D. 2017-Sep-30 00:00:00.0000,  1.569720554062385E+09, -4.745821593949978E+09,  5.360664457502556E+07,
2458027.500000000, A.D. 2017-Oct-01 00:00:00.0000,  1.570178413878311E+09, -4.745771474805370E+09,  5.346971086852860E+07,
2458028.500000000, A.D. 2017-Oct-02 00:00:00.0000,  1.570636300854482E+09, -4.745722294789195E+09,  5.333114325816536E+07,
2458029.500000000, A.D. 2017-Oct-03 00:00:00.0000,  1.571093033604001E+09, -4.745674552286154E+09,  5.319220213459611E+07,
2458030.500000000, A.D. 2017-Oct-04 00:00:00.0000,  1.571548450128920E+09, -4.745627429632574E+09,  5.305448027021766E+07,
2458031.500000000, A.D. 2017-Oct-05 00:00:00.0000,  1.572003552330364E+09, -4.745579521857383E+09,  5.291848303241730E+07,
2458032.500000000, A.D. 2017-Oct-06 00:00:00.0000,  1.572459613118752E+09, -4.745530089630811E+09,  5.278317664269853E+07,
2458033.500000000, A.D. 2017-Oct-07 00:00:00.0000,  1.572917040109991E+09, -4.745479719903339E+09,  5.264690995963502E+07,
2458034.500000000, A.D. 2017-Oct-08 00:00:00.0000,  1.573375011595423E+09, -4.745429801901158E+09,  5.250888876477671E+07,
2458035.500000000, A.D. 2017-Oct-09 00:00:00.0000,  1.573832210613004E+09, -4.745381286972194E+09,  5.236988381512141E+07,
2458036.500000000, A.D. 2017-Oct-10 00:00:00.0000,  1.574287999458070E+09, -4.745333840826872E+09,  5.223154235279989E+07,
2458037.500000000, A.D. 2017-Oct-11 00:00:00.0000,  1.574742987894792E+09, -4.745286141800076E+09,  5.209491972009134E+07,
2458038.500000000, A.D. 2017-Oct-12 00:00:00.0000,  1.575198490097107E+09, -4.745237058946159E+09,  5.195953783581018E+07,
2458039.500000000, A.D. 2017-Oct-13 00:00:00.0000,  1.575655352222352E+09, -4.745186661718481E+09,  5.182381055264878E+07,
2458040.500000000, A.D. 2017-Oct-14 00:00:00.0000,  1.576113196607230E+09, -4.745136158438465E+09,  5.168645961687565E+07,
2458041.500000000, A.D. 2017-Oct-15 00:00:00.0000,  1.576570759419339E+09, -4.745086817245234E+09,  5.154765547932792E+07,
2458042.500000000, A.D. 2017-Oct-16 00:00:00.0000,  1.577027018511282E+09, -4.745038835153085E+09,  5.140886396718812E+07,
2458043.500000000, A.D. 2017-Oct-17 00:00:00.0000,  1.577482104295551E+09, -4.744991163049921E+09,  5.127153911602521E+07,
2458044.500000000, A.D. 2017-Oct-18 00:00:00.0000,  1.577937183822580E+09, -4.744942440646934E+09,  5.113582683108449E+07,
2458045.500000000, A.D. 2017-Oct-19 00:00:00.0000,  1.578393420295032E+09, -4.744892210036060E+09,  5.100043353253198E+07,
2458046.500000000, A.D. 2017-Oct-20 00:00:00.0000,  1.578850934392612E+09, -4.744841325183143E+09,  5.086378027066708E+07,
2458047.500000000, A.D. 2017-Oct-21 00:00:00.0000,  1.579308696660797E+09, -4.744791189316193E+09,  5.072541248185205E+07,
2458048.500000000, A.D. 2017-Oct-22 00:00:00.0000,  1.579765446814660E+09, -4.744742502670607E+09,  5.058640457815337E+07,
2458049.500000000, A.D. 2017-Oct-23 00:00:00.0000,  1.580220817322512E+09, -4.744694638853741E+09,  5.044840103166127E+07,
2458050.500000000, A.D. 2017-Oct-24 00:00:00.0000,  1.580675660956080E+09, -4.744646203239918E+09,  5.031215055625653E+07,
